All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO29,,GPIO29,SCIA_TX,,EPWM7_B,GPIO29,OUTPUTXBAR6,EQEP1_B,SD1_C3,GPIO29,EQEP2_INDEX,LINA_RX,SPIB_STE,GPIO29,ERRORSTS,,
2,GPIO28,,GPIO28,SCIA_RX,,EPWM7_A,GPIO28,OUTPUTXBAR5,EQEP1_A,SD1_D3,GPIO28,EQEP2_STROBE,LINA_TX,SPIB_CLK,GPIO28,ERRORSTS,,
3,XRSn,XRSn
4,VDD,VDD
5,VSS,VSS
6,A6/PGA5_OF,,,,,,,,,,,,,,,,,
7,B2/C6/PGA3_OF,,,,,,,,,,,,,,,,,
8,B3/VDAC,,,,,,,,,,,,,,,,,
9,A2/B6/PGA1_OF,,,,,,,,,,,,,,,,,
10,PGA1_GND/ PGA3_GND/ PGA5_GND,PGA1_GND/ PGA3_GND/ PGA5_GND
11,C4/ PGA5_IN,,,,,,,,,,,,,,,,,
12,C0/ PGA1_IN,,,,,,,,,,,,,,,,,
13,C2/ PGA3_IN,,,,,,,,,,,,,,,,,
14,A1/DACB_OUT,,,,,,,,,,,,,,,,,
15,A0/B15/C15/DACA_OUT,,,,,,,,,,,,,,,,,
16,VREFHIA/ VREFHIB/ VREFHIC,VREFHIA/ VREFHIB/ VREFHIC
17,VREFLOA/ VREFLOB/ VREFLOC,VREFLOA/ VREFLOB/ VREFLOC
18,C1/ PGA2_IN,,,,,,,,,,,,,,,,,
19,C3/ PGA4_IN,,,,,,,,,,,,,,,,,
20,PGA2_GND/ PGA4_GND/ PGA6_GND,PGA2_GND/ PGA4_GND/ PGA6_GND
21,VSSA,VSSA
22,VDDA,VDDA
23,A4/B8/PGA2_OF,,,,,,,,,,,,,,,,,
24,B4/C8/PGA4_OF,,,,,,,,,,,,,,,,,
25,A10/B1/C10/PGA7_OF,,,,,,,,,,,,,,,,,
26,VSS,VSS
27,VDD,VDD
28,VDDIO,VDDIO
29,GPIO13,,GPIO13,EPWM7_B,CANB_RX,,GPIO13,EQEP1_INDEX,SCIB_RX,PMBUSA_ALERT,GPIO13,FSIRXA_CLK,,,GPIO13,,,
30,GPIO12,,GPIO12,EPWM7_A,CANB_TX,,GPIO12,EQEP1_STROBE,SCIB_TX,PMBUSA_CTL,GPIO12,FSIRXA_D0,,,GPIO12,,,
31,GPIO11,,GPIO11,EPWM6_B,SCIB_RX,OUTPUTXBAR7,GPIO11,EQEP1_B,SCIB_RX,SPIA_STE,GPIO11,FSIRXA_D1,,,GPIO11,,,
32,GPIO33,,GPIO33,I2CA_SCL,,SPIB_STE,GPIO33,OUTPUTXBAR4,LINA_RX,SD1_C3,GPIO33,FSIRXA_CLK,CANA_RX,,GPIO33,,,
